device,test,box,accuracy,precision,recall,f1
MYO,test_1,trasp,0.67,0.83,0.67,0.66
CV,test_1,trasp,0.44,0.58,0.44,0.44
MYO,test_1,opaq,0.56,0.37,0.56,0.44
CV,test_1,opaq,0.78,0.83,0.78,0.74
MYO,test_2,trasp,0.50,0.50,0.50,0.44
CV,test_2,trasp,0.50,0.61,0.50,0.52
MYO,test_2,opaq,0.67,0.83,0.67,0.67
CV,test_2,opaq,0.17,0.11,0.17,0.13
MYO,test,test_1,0.61,0.72,0.61,0.58
CV,test,test_1,0.61,0.71,0.61,0.59
MYO,test,test_2,0.58,0.67,0.58,0.59
CV,test,test_2,0.33,0.39,0.33,0.34
MYO,box,trasp,0.60,0.67,0.60,0.57
CV,box,trasp,0.47,0.50,0.47,0.47
MYO,box,opaq,0.60,0.72,0.60,0.56
CV,box,opaq,0.53,0.67,0.53,0.50
MYO,total,total,0.60,0.69,0.60,0.59
CV,total,total,0.50,0.56,0.50,0.49
